track_id,title,artist,album,release_date,popularity,duration_ms,explicit,year,ranking,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
7a1aqeZM7JCXAMDMZxyr19,That's the Way It Is,Céline Dion,All the Way...A Decade of Song,1999-11-12,38,241373,False,2000,28,0.635,0.88,9,-5.405,1,0.0452,0.141,0.0,0.125,0.596,93.043,4
2Lg4kvhOrPhpGEZmSe7VAN,Country Grammar (Hot Shit),Nelly,Country Grammar,2000-06-27,0,287000,True,2000,29,0.872,0.673,2,-6.879,1,0.108,0.00802,0.0,0.155,0.527,162.781,4
3X64nkPL7Tt6dM2lzxfdBC,Bring It All to Me - Single Version,Blaque,Blaque By Popular Demand,2007-05-21,42,227093,False,2000,30,0.6940000000000001,0.553,0,-7.653,1,0.0284,0.0359,0.0,0.0581,0.758,88.064,4
3BsaRV5QIulYz2lV9WWa8T,Show Me the Meaning of Being Lonely,Backstreet Boys,Millennium,1999-05-18,72,234960,False,2000,31,0.63,0.625,6,-5.088,0,0.0252,0.231,0.0,0.0765,0.683,167.998,4
7mfw2IZKo7pxLoRxr8S3ct,Hot Boyz,Missy Elliott,"Hot Boyz (feat. Nas, Eve & Q-Tip)",2004-07-01,37,233093,True,2000,32,0.8290000000000001,0.476,1,-9.507,1,0.367,0.291,0.0,0.212,0.588,81.044,4
6znv7i4Wif5fLwI6OjKHZ4,Back Here,BBMAK,Sooner Or Later,2000-01-01,52,218200,False,2000,33,0.624,0.945,7,-3.109,1,0.0343,0.0698,4.57e-06,0.0867,0.914,104.77,4
5GJOuVtD5nGTjlnqyZ0q3A,It Feels So Good - Radio Edit,Sonique,It Feels So Good,1998-09-18,50,229760,False,2000,34,0.634,0.662,5,-7.544,0,0.0278,0.039,0.0193,0.102,0.618,134.979,4
3mNecsYFb6LQg7822DPXCP,Absolutely (Story of a Girl) - Radio Mix,Nine Days,The Madding Crowd,2000-05-16,69,189333,False,2000,35,0.481,0.94,7,-5.204,1,0.066,0.000891,0.0,0.0939,0.66,96.493,4
0eKyHwckh9vQb8ncZ2DXCs,With Arms Wide Open,Creed,Human Clay,1999-01-01,70,274800,False,2000,36,0.41,0.539,0,-8.412,1,0.0302,0.00425,0.00089,0.117,0.141,138.852,4
1lZ4j5WBURBwZ0M5TT46wP,Be With You,Enrique Iglesias,Enrique,1999-11-23,53,220160,False,2000,37,0.6900000000000001,0.871,1,-5.484,0,0.0329,0.0359,0.000843,0.0347,0.561,121.984,4
7A0apkTSTvMbSI7yplcmlh,Come on over Baby (All I Want Is You) - Radio Version,Christina Aguilera,Christina Aguilera (Expanded Edition),1999,67,203333,False,2000,38,0.8290000000000001,0.915,8,-3.205,1,0.106,0.226,1.25e-05,0.246,0.779,118.903,4
2WfhlEjoUII31H6imnQdvF,No More,Ruff Endz,Love Crimes,2000-08-22,60,242560,False,2000,39,0.839,0.641,10,-5.669,0,0.0858,0.0324,4.5599999999999995e-06,0.0602,0.927,97.004,4
7yCPwWs66K8Ba5lFuU2bcx,All The Small Things,blink-182,Enema Of The State,1999-01-01,1,168000,False,2000,40,0.439,0.891,0,-4.764,1,0.057,0.0122,0.0,0.547,0.6950000000000001,148.599,4
4R3223e4lsjJ9k3GdpJiJs,The Way You Love Me - 2007 Remaster,Faith Hill,The Hits,2007,26,208666,False,2000,41,0.61,0.762,9,-6.058,1,0.0274,0.0725,0.0,0.039,0.634,101.619,4
4Do68W4FWO2hRAJCzG1lus,I Turn to You,Christina Aguilera,Christina Aguilera (Expanded Edition),1999,64,273706,False,2000,42,0.599,0.47,1,-8.356,1,0.0376,0.38,0.0,0.111,0.298,127.177,4
1sxUaLi0G2vB7dl4ogtCxH,Never Let You Go - 2008 Remaster,Third Eye Blind,Blue,1999-11-23,67,237240,False,2000,43,0.728,0.94,4,-5.034,1,0.0368,0.0814,0.0001619999999999,0.109,0.967,113.76,4
7LQHBl2QcDWc6MqqTirZvW,I Need You,LeAnn Rimes,Greatest Hits,2003-11-18,39,229826,False,2000,44,0.478,0.736,7,-7.124,1,0.0367,0.02,9.58e-05,0.118,0.5640000000000001,144.705,4
1RS3LStQYhju50eBdD9Uul,Thank God I Found You (feat. Joe & 98°),Mariah Carey,Rainbow,1999-11-02,62,257360,False,2000,45,0.348,0.532,10,-5.882,1,0.0331,0.592,0.0,0.106,0.148,129.297,4
1PmHkalaUHhh0fz23SBHDL,Let's Get Married,Jagged Edge,J.E. Heartbreak,2000-01-18,59,263226,False,2000,46,0.761,0.627,1,-5.554,1,0.0538,0.175,0.0,0.128,0.891,109.821,4
4xzhlulgIL4yFEAR9EjHkR,My Love Is Your Love,Whitney Houston,My Love Is Your Love,1998-11-17,0,261573,False,2000,47,0.769,0.47,7,-9.526,1,0.158,0.054,5.139999999999999e-06,0.0628,0.465,82.505,4
50MfV7a1pnOEcf2t9kobxW,Then The Morning Comes,Smash Mouth,Astro Lounge,1999-06-08,54,182266,False,2000,48,0.729,0.881,5,-5.024,0,0.0283,0.0231,0.0,0.0872,0.963,118.58,4
7lMIJ4EFWRVoAIPDpeGyM3,Blue (Da Ba Dee) - Gabry Ponte Video Edit,Eiffel 65,Blue (Da Ba Dee),1998-11-11,60,219618,False,2000,49,0.8290000000000001,0.965,7,-11.498,0,0.0598,0.227,0.000122,0.466,0.729,127.999,4
6FUFzycZVNicS40HrfzwF8,Desert Rose - Radio Edit,Sting,Desert Rose,1999-01-01,28,236666,False,2000,50,0.5660000000000001,0.597,0,-9.634,0,0.0304,0.0121,0.0,0.103,0.132,112.011,4
3yfqSUWxFvZELEM4PmlwIR,The Real Slim Shady,Eminem,The Marshall Mathers LP,2000-05-23,88,284200,True,2000,51,0.949,0.661,5,-4.244,0,0.0572,0.0302,0.0,0.0454,0.76,104.504,4
2jYDJD3CVByOe08jplCn7Y,Most Girls,P!nk,Can't Take Me Home,2000,0,298933,False,2000,52,0.753,0.745,11,-5.698,0,0.0312,0.0392,0.00321,0.0664,0.6920000000000001,97.919,4
3JXBiZiavDWdnanqeNGw2n,Wifey - Radio Mix,Next,Wifey,2000-01-01,26,247400,False,2000,53,0.8300000000000001,0.7000000000000001,7,-7.223,0,0.1,0.0672,0.0,0.0616,0.669,99.593,4
0WHOPmOuQKuu05k4g3UTvk,Wonderful,Everclear,Songs From An American Movie: Learning How To Smile,2000-01-01,59,280813,False,2000,54,0.514,0.8170000000000001,7,-6.489,1,0.05,0.0118,8.249999999999999e-06,0.346,0.734,186.765,4
6naxalmIoLFWR0siv8dnQQ,Oops!...I Did It Again,Britney Spears,Oops!... I Did It Again,2000-05-16,82,211160,False,2000,55,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,4
7fMECHfXyj8DGlpPZXe3hJ,I Wanna Love You Forever,Jessica Simpson,I Wanna Love You Forever,2000-02-14,6,264266,False,2000,56,0.593,0.592,4,-6.202,0,0.0246,0.135,0.0,0.128,0.0717,104.131,4
1OvjOVieEsYqGiK1T3mUv9,Give Me Just One Night (Una Noche),98º,Revelation,2000-09-26,47,205160,False,2000,57,0.543,0.79,0,-6.145,1,0.0491,0.0513,3.5499999999999995e-06,0.0981,0.655,123.631,4
29vkq1zrigGEgUiPGNYSGp,Take a Picture - Radio Edit; 2009 Remastered Version,Filter,The Very Best Things [1995-2008],2009-03-27,0,221386,False,2000,58,0.529,0.854,2,-4.931,1,0.0301,0.000572,0.000227,0.0542,0.444,99.049,4
3CeYdUfGPCjKMDYyI1PpCh,Otherside,Red Hot Chili Peppers,Californication,1999-06-08,60,255373,False,2000,59,0.458,0.795,0,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229,4
7m97yKVzPpXV9Z4ezEziOD,Big Pimpin',JAY-Z,Vol. 3... Life And Times Of S. Carter,1999-12-28,73,283066,True,2000,60,0.88,0.8140000000000001,11,-6.307,0,0.14,0.168,0.00672,0.0584,0.942,138.083,4
1MOqMyQ7CULmWWjovkFY5B,Purest of Pain - English Version,Son By Four,Son By 4,2000-05-23,42,209320,False,2000,61,0.5650000000000001,0.547,0,-7.722,1,0.0347,0.579,0.0,0.194,0.252,75.018,4
3VEZvzr84WVnoorZ4tlBSw,He Can't Love U,Jagged Edge,J.E. Heartbreak,2000-01-18,55,244053,False,2000,62,0.721,0.836,8,-3.972,0,0.206,0.112,0.0,0.235,0.508,126.279,4
5EJBxxppXkKD6uMtFQS7b8,Separated,Avant,My Thoughts,2000-01-01,0,255600,False,2000,63,0.793,0.49,0,-6.241,1,0.0273,0.284,0.0,0.262,0.632,108.238,4
3lqT89gv8p3PYwXtr3ODjv,I Wish,Carl Thomas,Emotional,2000-04-18,59,226760,False,2000,64,0.736,0.666,1,-4.929,1,0.0337,0.0593,3.82e-05,0.107,0.224,89.824,4
5PMKzsUsTpZZGsCcJBuhP2,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",Donell Jones,Where I Wanna Be,1999-05-29,68,243733,True,2000,65,0.854,0.543,8,-6.166,0,0.0844,0.0402,5.730000000000001e-05,0.0419,0.868,103.032,4
4WP1XJnAUkZfTtMdZTaN9k,Faded,SoulDecision,No One Does It Better,2000,51,208666,False,2000,66,0.6930000000000001,0.722,6,-6.387,0,0.0421,0.244,0.0,0.0425,0.96,107.975,4
1rAzW6aco1ZtxLRx4XOagB,Only God Knows Why,Kid Rock,Devil Without a Cause,1998-08-05,62,327666,True,2000,67,0.628,0.749,4,-5.18,1,0.03,0.0569,0.00204,0.134,0.31,129.2,4
1jRzdY7oUBOhrylNtiMtBD,Shake Ya Ass (feat. Pharrell Williams),Mystikal,Let's Get Ready,2000-09-26,59,256972,True,2000,68,0.914,0.607,7,-5.658,1,0.32,0.0626,0.0,0.0515,0.666,98.054,4
4o9X3Mv1lBUU3Zn8jmehzW,Bag Lady - Cheeba Sac Radio Edit,Erykah Badu,Best Of,2010-01-01,0,249000,False,2000,69,0.658,0.546,1,-9.719,1,0.159,0.0763,7.290000000000001e-05,0.0646,0.717,168.64,4
4ocbH5ZJqajZIpUrqRUoue,Meet Virginia,Train,Train,1998-02-24,65,239933,False,2000,70,0.675,0.553,7,-7.775,1,0.0486,0.0863,7.58e-06,0.118,0.594,90.02,4
0LWkaEyQRkF0XAms8Bg1fC,Party Up,DMX,...And Then There Was X,1999-12-21,74,268866,True,2000,71,0.51,0.931,11,-3.302,1,0.347,0.0738,0.0,0.5,0.53,201.936,4
1ak0S3NhwWrUgNlQhJ1412,Case Of The Ex (Whatcha Gonna Do),Mýa,Fear Of Flying,2000-01-01,58,236826,False,2000,72,0.774,0.684,1,-4.721,0,0.0408,0.0687,9.34e-05,0.0765,0.354,98.001,4
0D8Npw3PzW1srmITkELL3s,Forgot About Dre,Dr. Dre,2001,1999-11-16,4,222333,True,2000,73,0.926,0.733,8,-1.294,1,0.0647,0.101,0.0,0.179,0.65,133.966,4
296XGtH5MeGisqD3uAz6Q6,That's The Way,Jo Dee Messina,Burn,2000-08-01,42,202253,False,2000,74,0.488,0.923,2,-3.697,1,0.103,0.129,0.0,0.158,0.8180000000000001,183.891,4
2x1D20z93vGEjtTP07GOOr,Swear It Again - Radio Edit,Westlife,Westlife,1999-04-25,0,247933,False,2000,75,0.626,0.532,9,-7.205,1,0.0275,0.296,0.0,0.123,0.33,130.071,4
2eknDuc5IeulN0hnwEZsjF,The Next Episode,Dr. Dre,2001,1999-11-16,3,161506,True,2000,76,0.923,0.912,10,-2.399,0,0.266,0.0308,0.0,0.111,0.287,95.305,4
