title,artist,release_year,explicit,energy,valence,casing,is_uniform
Lighters,Bad Meets Evil,2011,True,0.6950000000000001,0.144,mixed,mixed
If I Die Young,The Band Perry,2010,False,0.497,0.362,mixed,mixed
Stereo Hearts,Gym Class Heroes,2011,False,0.795,0.796,mixed,mixed
The Time,Black Eyed Peas,2010,False,0.8130000000000001,0.436,mixed,mixed
Coming Home,Diddy - Dirty Money,2010,False,0.839,0.232,mixed,mixed
Hey Baby,Pitbull,2011,False,0.912,0.762,mixed,mixed
Only Girl,Rihanna,2010,False,0.71,0.632,mixed,mixed
6 Foot 7 Foot,Lil Wayne,2011,True,0.751,0.604,mixed,mixed
Just A Kiss,Lady A,2011,False,0.639,0.332,mixed,mixed
Dirt Road Anthem,Jason Aldean,2010,False,0.741,0.635,mixed,mixed
Dynamite,Taio Cruz,2010,False,0.804,0.8180000000000001,mixed,mixed
No Hands,Waka Flocka Flame,2010,True,0.595,0.361,mixed,mixed
I Wanna Go,Britney Spears,2011,False,0.546,0.787,mixed,mixed
I'm On One,DJ Khaled,2011,True,0.807,0.438,mixed,mixed
You Make Me Feel...,Cobra Starship,2011,False,0.857,0.748,mixed,mixed
Yeah 3x,Chris Brown,2011,True,0.882,0.7000000000000001,mixed,mixed
Moment 4 Life,Nicki Minaj,2010,True,0.882,0.386,mixed,mixed
I Need A Doctor,Dr. Dre,2011,True,0.946,0.397,mixed,mixed
Just A Dream,Nelly,2010,False,0.752,0.103,mixed,mixed
Motivation,Kelly Rowland,2011,False,0.679,0.264,mixed,mixed
Stereo Love,Edward Maya,2010,False,0.784,0.375,mixed,mixed
Jar of Hearts,Christina Perri,2010,False,0.348,0.0886,mixed,mixed
Roll Up,Wiz Khalifa,2011,True,0.805,0.602,mixed,mixed
Sexy And I Know It,LMFAO,2011,False,0.861,0.795,mixed,mixed
Rocketeer,Far East Movement,2010,False,0.845,0.357,mixed,mixed
All Of The Lights,Kanye West,2010,True,0.803,0.221,mixed,mixed
Hold It Against Me,Britney Spears,2011,False,0.722,0.389,mixed,mixed
More,USHER,2010,False,0.893,0.794,mixed,mixed
What the Hell,Avril Lavigne,2011,False,0.926,0.877,mixed,mixed
Written in the Stars,Tinie Tempah,2010,True,0.945,0.5730000000000001,mixed,mixed
Bottoms Up,Trey Songz,2010,True,0.601,0.329,mixed,mixed
DJ Got Us Fallin' In Love,USHER,2010,False,0.861,0.654,mixed,mixed
For the First Time,The Script,2010,True,0.618,0.404,mixed,mixed
Honey Bee,Blake Shelton,2011,False,0.849,0.723,mixed,mixed
Don't You Wanna Stay,Jason Aldean,2010,False,0.631,0.152,mixed,mixed
We Found Love,Rihanna,2011,False,0.766,0.6000000000000001,mixed,mixed
Pretty Girl Rock,Keri Hilson,2010,False,0.87,0.9,mixed,mixed
You And I,Lady Gaga,2011,False,0.7010000000000001,0.518,mixed,mixed
Like A G6,Far East Movement,2010,False,0.837,0.778,mixed,mixed
Without You,David Guetta,2011,False,0.614,0.402,mixed,mixed
Back To December,Taylor Swift,2010,False,0.67,0.286,mixed,mixed
Teenage Dream,Katy Perry,2012,False,0.804,0.605,mixed,mixed
Crazy Girl,Eli Young Band,2011,False,0.651,0.257,mixed,mixed
Cheers,Rihanna,2010,False,0.912,0.727,mixed,mixed
Who Says,Selena Gomez & The Scene,2011,False,0.927,0.744,mixed,mixed
Barefoot Blue Jean Night,Jake Owen,2011,False,0.807,0.812,mixed,mixed
Knee Deep,Zac Brown Band,2010,False,0.584,0.61,mixed,mixed
Country Girl,Luke Bryan,2011,False,0.904,0.671,mixed,mixed
Remind Me,Brad Paisley,2011,False,0.726,0.288,mixed,mixed
In The Dark,DEV,2012,False,0.8230000000000001,0.442,mixed,mixed
