artist,title,year,gender,birth_year,casing,is_uniform
Bizarrap,"Arcángel: Bzrp Music Sessions, Vol. 54",2023,male,1998.0,mixed,mixed
Dua Lipa,Houdini,2023,female,1995.0,mixed,mixed
Olivia Rodrigo,all-american bitch,2023,female,2003.0,lower,uniform
Atif Aslam,Tu Jaane Na,2023,male,1983.0,mixed,mixed
Naiara Azevedo,Palhaça,2023,female,1989.0,mixed,mixed
Lola Indigo,EL TONTO,2023,female,1992.0,upper,uniform
Peso Pluma,LA PEOPLE,2023,male,1999.0,upper,uniform
Xavi,La Víctima,2023,male,1980.0,mixed,mixed
Rauw Alejandro,PANTIES Y BRASIERES,2023,male,1993.0,upper,uniform
Post Malone,Mourning,2023,male,1995.0,mixed,mixed
Peso Pluma,NUEVA VIDA,2023,male,1999.0,upper,uniform
Kordhell,SCOPIN,2023,male,1980.0,upper,uniform
Luke Combs,Love You Anyway,2023,male,1990.0,mixed,mixed
Felipe Amorim,Toca o Trompete,2023,female,1991.0,mixed,mixed
Alfredo Olivas,No,2023,female,1994.0,mixed,mixed
Dermot Kennedy,Kiss Me,2023,male,1991.0,mixed,mixed
Bobby Pulido,Se Murió De Amor,2023,male,1971.0,mixed,mixed
Kanii,I Know,2023,male,2005.0,mixed,mixed
Lewis Capaldi,Pointless,2023,male,1996.0,mixed,mixed
Taylor Swift,Mine,2023,female,1989.0,mixed,mixed
Odetari,GMFU,2023,male,2000.0,upper,uniform
Bellakath,Reggaeton Champagne,2023,female,1997.0,mixed,mixed
Gusttavo Lima,Mala dos Porta-Mala,2023,male,1989.0,mixed,mixed
Käärijä,Cha Cha Cha,2023,female,1993.0,mixed,mixed
Pritam,Pyaar Hota Kayi Baar Hai,2023,male,1971.0,mixed,mixed
Drake,Rich Baby Daddy,2023,male,1986.0,mixed,mixed
Miley Cyrus,River,2023,female,1992.0,mixed,mixed
